parent,name
testudinidae,chelonoidis
anatidae,chenonetta
subulinidae,chilonopsis
scincidae,chioninia
fringillidae,chloridops
trochilidae,chlorostilbon
cyprinidae,chondrostoma
sapotaceae,chrysophyllum
fringillidae,ciridops
hydrobiidae,clappia
pseudococcidae,clavicoccus
dipsadidae,clelia
campanulaceae,clermontia
euphorbiaceae,cnidoscolus
scolopacidae,coenocorypha
picidae,colaptes
coleophoridae,coleophora
nacellidae,collisella
helicarionidae,colparion
columbidae,columba
asteraceae,commidendrum
muridae,conilurus
acrididae,conozoa
teiidae,contomastix
psittacidae,conuropsis
scincidae,copeoglossum
salmonidae,coregonus
muridae,coryphomys
cottidae,cottus
phasianidae,coturnix
cuculidae,coua
craugastoridae,craugastor
fabaceae,crudia
didelphidae,cryptonanus
eupleridae,cryptoprocta
cichlidae,ctenochromis
euconulidae,ctenoglypta
sapindaceae,cupaniopsis
campanulaceae,cyanea
psittacidae,cyanoramphus
cyclophoridae,cyclophorus
cyclophoridae,cyclosurus
iguanidae,cyclura
testudinidae,cylindraspis
fabaceae,cynometra
cyperaceae,cyperus
cyprinodontidae,cyprinodon
cyprinidae,cyprinus
gesneriaceae,cyrtandra
asteraceae,delilia
campanulaceae,delissea
lycaenidae,deloneura
rallidae,diaphorapteryx
helicarionidae,diastole
rhinocerotidae,diceros
holothyridae,dicrogonatus
dracaenaceae,dracaena
fringillidae,drepanis
casuariidae,dromaius
drosophilidae,drosophila
rallidae,dryolimnas
curculionidae,dryophthorus
dryopteridaceae,dryopteris
euconulidae,dupontia
canidae,dusicyon
fringillidae,dysmorodrepanis
psittacidae,eclectus
nepticulidae,ectodemia
columbidae,ectopistes
pleuroceridae,elimia
scincidae,emoia
cyprinodontidae,empetrichthys
unionidae,epioblasma
equidae,equus
helicarionidae,erepta
dipsadidae,erythrolamprus
rallidae,erythromachus
percidae,etheostoma
pachybolidae,eucarlia
petromyzontidae,eudontomyzon
orchidaceae,eulophia
euphorbiaceae,euphorbia
scrophulariaceae,euphrasia
cyprinidae,evarra
falconidae,falco
asteraceae,fitchia
brachytheciaceae,flabellidium
hydrobiidae,fluvidona
ploceidae,foudia
sturnidae,fregilupus
rallidae,fulica
fundulidae,fundulus
lymnaeidae,galba
rutaceae,galipea
rallidae,gallinula
poeciliidae,gambusia
gasterosteidae,gasterosteus
vertiginidae,gastrocopta
bovidae,gazella
pyralidae,genophantis
capromyidae,geocapromys
prosorhochmidae,geonemertes
unionidae,germainaia
acanthizidae,gerygone
streptaxidae,gibbus
cyprinidae,gila
lycaenidae,glaucopsyche
myrtaceae,gomidesia
streptaxidae,gonidomus
streptaxidae,gonospira
hydrobiidae,graecoanatolica
rubiaceae,guettarda
streptaxidae,gulella
pleuroceridae,gyrotoma
orchidaceae,habenaria
haematopodidae,haematopus
helicarionidae,harmogenanina
charopidae,helenoconcha
charopidae,helenodiscus
cochliopidae,heleobia
hygromiidae,helicopsis
noctuidae,helicoverpa
boraginaceae,heliotropium
fringillidae,hemignathus
hernandiaceae,hernandia
callaeidae,heteralocha
echimyidae,heteropsomys
capromyidae,hexolobodon
malvaceae,hibiscadelphus
fringillidae,himatione
hippopotamidae,hippopotamus
bovidae,hippotragus
endodontidae,hirasea
phalangodidae,hirstienus
dipterocarpaceae,hopea
diplodactylidae,hoplodactylus
acipenseridae,huso
hydrobiidae,hydrobia
dugongidae,hydrodamalis
hydropsychidae,hydropsyche
dytiscidae,hygrotus
noctuidae,hypena
megascolecidae,hypolimnus
rallidae,hypotaenidia
salamandridae,hypselotriton
aquifoliaceae,ilex
neocyclotidae,incerticyclus
bufonidae,incilius
hydrobiidae,islamia
capromyidae,isolobodon
ardeidae,ixobrychus
cricetidae,juscelinomys
bovidae,kobus
malvaceae,kokia
labiduridae,labidura
macropodidae,lagorchestes
chinchillidae,lagostomus
achatinellidae,lamellidea
unionidae,lampsilis
tropiduridae,leiocephalus
scincidae,leiolopisma
hydrobiidae,leiorhagium
lauriidae,leiostyla
brassicaceae,lepidium
lycaenidae,lepidochrysops
cyprinidae,lepidomeda
muridae,leporillus
pleuroceridae,leptoxis
orthalicidae,leucocharis
zygaenidae,levuana
charopidae,libera
nymphalidae,libythea
chrysobalanaceae,licania
cyprididae,liocypris
ranidae,lithobates
littorinidae,littoraria
hydrobiidae,littoridina
loganiaceae,logania
psittacidae,lophopsittacus
lottidae,lottia
fringillidae,loxops
pupillidae,lyropupa
palaemonidae,macrobrachium
macropodidae,macropus
thylacomyidae,macrotis
sapotaceae,madhuca
blattellidae,margatteoidea
hydrobiidae,marstonia
strigidae,mascarenotus
psittacidae,mascarinus
charopidae,mautodontha
carabidae,mecodema
unionidae,medionidus
dytiscidae,megadytes
coenagrionidae,megalagrion
strophocheilidae,megalobulimus
cricetidae,megalomys
cricetidae,megaoryzomys
acrididae,melanoplus
rutaceae,melicope
muridae,melomys
hydrobiidae,mercuria
anatidae,mergus
zalmoxidae,metazalmoxis
columbidae,microgoura
cyprinidae,mirogrex
mohoidae,moho
catostomidae,moxostoma
rallidae,mundia
turdidae,myadestes
monarchidae,myiagra
boraginaceae,myosotis
myrtaceae,myrcia
candonidae,namibcypris
helicarionidae,nancibella
cuculidae,nannococcyx
dicroglossidae,nannophrys
sturnidae,necropsar
psittacidae,necropsittacus
tettigoniidae,neduba
neckeraceae,neomacounia
phocidae,neomonachus
planorbidae,neoplanorbis
cricetidae,neotoma
mustelidae,neovison
acrocephalidae,nesillas
rhamnaceae,nesiota
columbidae,nesoenas
nesophontidae,nesophontes
pupillidae,nesopupa
cricetidae,nesoryzomys
strigopidae,nestor
achatinellidae,newcombia
cricetidae,noronhomys
muridae,notomys
cyprinidae,notropis
ictaluridae,noturus
ardeidae,nyctanassa
ardeidae,nycticorax
apocynaceae,ochrosia
orchidaceae,oeceoclades
pyralidae,oeobia
hydrobiidae,ohridohauffenia
rubiaceae,oldenlandia
oleacinidae,oleacina
cricetidae,oligoryzomys
assimineidae,omphalotropis
salmonidae,oncorhynchus
macropodidae,onychogalea
curculionidae,oodemas
fabaceae,ormosia
paradoxosomatidae,orthomorpha
cricetidae,oryzomys
sapindaceae,otophora
bovidae,ourebia
cerastidae,pachnodus
euconulidae,pachystyla
astacidae,pacifastacus
palaeopropithecidae,palaeopropithecus
poeciliidae,pantanodon
felidae,panthera
helicarionidae,panulena
fringillidae,paroreomyza
partulidae,partula
achatinellidae,partulina
rubiaceae,pausinystalia
pelomedusidae,pelusios
cricetidae,pennatomys
ephemeridae,pentagenia
peramelidae,perameles
achatinellidae,perdicella
podoctidae,peromona
cricetidae,peromyscus
columbidae,pezophaps
phalacrocoracidae,phalacrocorax
gekkonidae,phelsuma
teiidae,pholidoscelis
phyllomedusidae,phrynomedusa
pseudococcidae,phyllococcus
physidae,physella
alcidae,pinguinus
passerellidae,pipilo
vespertilionidae,pipistrellus
orthalicidae,placostylus
capromyidae,plagiodontia
planorbidae,planorbella
schilbeidae,platytropius
diplommatinidae,plectostoma
sparassidae,pleorotus
plethodontidae,plethodon
unionidae,pleurobema
camaenidae,pleurodonte
asteraceae,pluchea
podicipedidae,podiceps
podicipedidae,podilymbus
cyprinidae,pogonichthys
monarchidae,pomarea
locustellidae,poodytes
rallidae,porphyrio
hydrobiidae,posticobia
potoroidae,potorous
sapotaceae,pouteria
sapotaceae,pradosia
poeciliidae,priapella
cambaridae,procambarus
prolagidae,prolagus
scolopacidae,prosobonia
retropinnidae,prototroctes
psittacidae,psephotellus
hydrobiidae,pseudamnicola
diapheromeridae,pseudobactricia
hygromiidae,pseudocampylaea
endodontidae,pseudohelenoconcha
muridae,pseudomys
rhacophoridae,pseudophilautus
cyprinidae,pseudophoxinus
asteraceae,psiadia
myrtaceae,psidium
psittacidae,psittacara
psittacidae,psittacula
procellariidae,pterodroma
pteropodidae,pteropus
columbidae,ptilinopus
cichlidae,ptychochromis
pupillidae,pupilla
hydrobiidae,pyrgulopsis
tyrannidae,pyrocephalus
helicarionidae,quintalia
icteridae,quiscalus
radulaceae,radula
columbidae,raphus
muridae,rattus
apocynaceae,rauvolfia
cerastidae,rhachis
cerastidae,rhachistia
dytiscidae,rhantus
myobatrachidae,rheobatrachus
cyprinidae,rhinichthys
fringillidae,rhodacanthis
rhyacophilidae,rhyacophila
curculionidae,rhyncogonus
dugesiidae,romankenkius
cyprinidae,romanogobio
cervidae,rucervus
flacourtiaceae,ryania
salmonidae,salmo
salmonidae,salvelinus
partulidae,samoana
apiaceae,sanicula
santalaceae,santalum
strigidae,sceloglaux
scincidae,scelotes
caryophyllaceae,schiedea
geometridae,scotorythra
dipterocarpaceae,shorea
cucurbitaceae,sicyos
dytiscidae,siettitia
charopidae,sinployea
podoctidae,sitalcicus
solenodontidae,solenodon
hydrobiidae,somatogyrus
spiroboleliidae,spirobolellus
poaceae,sporobolus
verbenaceae,stachytarpheta
lymnaeidae,stagnicola
caryophyllaceae,stellaria
proteaceae,stenocarpus
malvaceae,sterculia
sparassidae,stipax
tabanidae,stonemyia
fabaceae,streblorrhiza
crangonyctidae,stygobromus
cyprinidae,stypodon
suidae,sus
atyidae,syncaris
podicipedidae,tachybaptus
scincidae,tachygyia
charopidae,taipidon
myobatrachidae,taudactylus
cyprinidae,telestes
gerrhosauridae,tetradactylus
asteraceae,tetramolopium
endodontidae,thaumatodon
sparassidae,thomasettia
threskiornithidae,threskiornis
thylacinidae,thylacinus
tischeriidae,tischeria
megascolecidae,tokea
orthalicidae,tomigerus
achatinellidae,tornelasmias
acanthisittidae,traversia
leptoceridae,triaenodes
rallidae,tribonyx
curculionidae,trigonoscuta
loranthaceae,trilepidea
cichlidae,tristramella
geometridae,tritocleis
malvaceae,trochetiopsis
hygromiidae,trochoidea
pomatiidae,tropidophora
diaptomidae,tropodiaptomus
turdidae,turdus
oriolidae,turnagra
typhlopidae,typhlops
unionidae,unio
upupidae,upupa
valerianaceae,valerianella
delesseriaceae,vanvoorstia
asteraceae,vernonia
violaceae,viola
fringillidae,viridonia
pristilomatidae,vitrea
ariophantidae,vitrinula
cunoniaceae,weinmannia
rubiaceae,wendlandia
thymelaeaceae,wikstroemia
myrtaceae,xanthostemon
acanthisittidae,xenicus
pitheciidae,xenothrix
cichlidae,xystichromis
otariidae,zalophus
rallidae,zapornia
zonitidae,zonites
turdidae,zoothera
zosteropidae,zosterops
acaena,acaena exigua
acalypha,acalypha dikuluwensis
acalypha,acalypha rubrinervis
acalypha,acalypha wilderi
acanthametropus,acanthametropus pecatonica
achatinella,achatinella abbreviata
achatinella,achatinella apexfulva ssp. vittata
achatinella,achatinella buddii
achatinella,achatinella bulimoides ssp. rosea
achatinella,achatinella caesia
achatinella,achatinella casta
achatinella,achatinella decora
achatinella,achatinella dimorpha
achatinella,achatinella elegans
achatinella,achatinella juddii
achatinella,achatinella juncea
achatinella,achatinella lehuiensis
achatinella,achatinella livida
achatinella,achatinella papyracea
achatinella,achatinella spaldingi
achatinella,achatinella thaanumi
achatinella,achatinella valida
achyranthes,achyranthes atollensis
acipenser,acipenser nudiventris aral sea stock
acrocephalus,acrocephalus astrolabii
acrocephalus,acrocephalus luscinius
acrocephalus,acrocephalus musae
acrocephalus,acrocephalus nijoi
acrocephalus,acrocephalus yamashinae
adiantum,adiantum lianxianense
advena,advena campbelli
aegolius,aegolius gradyi
afrocyclops,afrocyclops pauliani
agrotis,agrotis crinigera
agrotis,agrotis fasciata
agrotis,agrotis kerri
agrotis,agrotis laysanensis
agrotis,agrotis photophila
agrotis,agrotis procellaris
akialoa,akialoa ellisiana
akialoa,akialoa lanaiensis
akialoa,akialoa obscura
akialoa,akialoa stejnegeri
alasmidonta,alasmidonta mccordi
alasmidonta,alasmidonta robusta
alasmidonta,alasmidonta wrightiana
alburnus,alburnus akili
alburnus,alburnus nicaeensis
alcelaphus,alcelaphus buselaphus ssp. buselaphus
alectroenas,alectroenas nitidissimus
alectroenas,alectroenas payandeei
alinea,alinea luciae
alloperla,alloperla roberti
alopecoenas,alopecoenas ferrugineus
alopecoenas,alopecoenas salamonis
alopochen,alopochen kervazoi
alopochen,alopochen mauritiana
amastra,amastra albolabris
amastra,amastra cornea
amastra,amastra crassilabrum
amastra,amastra elongata
amastra,amastra forbesi
amastra,amastra pellucida
amastra,amastra porcus
amastra,amastra reticulata
amastra,amastra subrostrata
amastra,amastra subsoror
amastra,amastra tenuispira
amastra,amastra umbilicata
amazona,amazona martinicana
amazona,amazona violacea
amphicyclotulus,amphicyclotulus guadeloupensis
amphigyra,amphigyra alabamensis
anabarilius,anabarilius macrolepis
anas,anas marecula
anas,anas theodori
anthornis,anthornis melanocephala
aphanapteryx,aphanapteryx bonasia
aphanius,aphanius splendens
aplocheilichthys,aplocheilichthys sp. nov. 'naivasha'
aplonis,aplonis corvina
aplonis,aplonis fusca
aplonis,aplonis mavornata
aplonis,aplonis ulietensis
ara,ara tricolor
argocoffeopsis,argocoffeopsis lemblinii
argyresthia,argyresthia castaneela
argyroxiphium,argyroxiphium virescens
astragalus,astragalus nitidiflorus
atelopus,atelopus ignescens
atelopus,atelopus longirostris
atelopus,atelopus vogli
athearnia,athearnia crassa
atlantisia,atlantisia podarces
auriculella,auriculella expansa
auriculella,auriculella uniplicata
barbus,barbus microbarbis
basananthe,basananthe cupricola
begonia,begonia eiromischa
belgrandiella,belgrandiella intermedia
bermuteo,bermuteo avivorus
bettongia,bettongia anhydra
bettongia,bettongia pusilla
blutaparon,blutaparon rigidum
bolyeria,bolyeria multocarinata
boromys,boromys offella
boromys,boromys torrei
bos,bos primigenius
brotomys,brotomys voratus
bulweria,bulweria bifax
bythinella,bythinella gibbosa
bythinella,bythinella limnopsis
bythinella,bythinella mauritanica
bythinella,bythinella microcochlia
bythinella,bythinella punica
byttneria,byttneria ivorensis
cabalus,cabalus modestus
caldwellia,caldwellia philyrina
caloenas,caloenas maculata
caloprymnus,caloprymnus campestris
cambarellus,cambarellus alvarezi
cambarellus,cambarellus chihuahuae
campolaemus,campolaemus perexilis
campomanesia,campomanesia lundiana
campsicnemus,campsicnemus mirabilis
camptorhynchus,camptorhynchus labradorius
caracara,caracara lutosa
carelia,carelia anceophila
carelia,carelia bicolor
carelia,carelia cochlea
carelia,carelia cumingiana
carelia,carelia dolei
carelia,carelia evelynae
carelia,carelia glossema
carelia,carelia hyattiana
carelia,carelia kalalauensis
carelia,carelia knudseni
carelia,carelia lirata
carelia,carelia lymani
carelia,carelia mirabilis
carelia,carelia necra
carelia,carelia olivacea
carelia,carelia paradoxa
carelia,carelia periscelis
carelia,carelia pilsbryi
carelia,carelia sinclairi
carelia,carelia tenebrosa
carelia,carelia turricula
carpodacus,carpodacus ferreorostris
casearia,casearia quinduensis
casearia,casearia tinifolia
cenchrus,cenchrus agrimonioides var. laysanensis
centaurea,centaurea pseudoleucolepis
centrobunus,centrobunus braueri
chaeropus,chaeropus ecaudatus
chaetoptila,chaetoptila angustipluma
chambardia,chambardia letourneuxi
characodon,characodon garmani
chasmistes,chasmistes muriei
chelonoidis,chelonoidis abingdonii
chelonoidis,chelonoidis niger
chenonetta,chenonetta finschi
chilonopsis,chilonopsis blofeldi
chilonopsis,chilonopsis exulatus
chilonopsis,chilonopsis helena
chilonopsis,chilonopsis melanoides
chilonopsis,chilonopsis nonpareil
chilonopsis,chilonopsis subplicatus
chilonopsis,chilonopsis subtruncatus
chilonopsis,chilonopsis turtoni
chioninia,chioninia coctei
chloridops,chloridops kona
chlorostilbon,chlorostilbon bracei
chlorostilbon,chlorostilbon elegans
chondrostoma,chondrostoma scodrense
chrysophyllum,chrysophyllum januariense
ciridops,ciridops anna
clappia,clappia cahabensis
clappia,clappia umbilicata
clavicoccus,clavicoccus erinaceus
clelia,clelia errabunda
clermontia,clermontia multiflora
cnidoscolus,cnidoscolus fragrans
coenocorypha,coenocorypha barrierensis
coenocorypha,coenocorypha iredalei
colaptes,colaptes oceanicus
coleophora,coleophora leucochrysella
collisella,collisella edmitchelli
colparion,colparion madgei
columba,columba jouyi
columba,columba thiriouxi
columba,columba versicolor
commidendrum,commidendrum gummiferum
conilurus,conilurus albipes
conilurus,conilurus capricornensis
conozoa,conozoa hyalina
contomastix,contomastix charrua
conuropsis,conuropsis carolinensis
copeoglossum,copeoglossum redondae
coregonus,coregonus alpenae
coregonus,coregonus bezola
coregonus,coregonus fera
coregonus,coregonus gutturosus
coregonus,coregonus hiemalis
coregonus,coregonus johannae
coregonus,coregonus nigripinnis
coregonus,coregonus oxyrinchus
coregonus,coregonus restrictus
coryphomys,coryphomys buehleri
cottus,cottus echinatus
